"Species","Redlist_cat","Threatened","Country"
"Ceratocephala falcata","0","yes","Austria"
"Ceratocephala orthoceras","1","yes","Austria"
"Ceratophyllum submersum","2","yes","Austria"
"Chamaecytisus austriacus","3","yes","Austria"
"Chamaecytisus ratisbonensis","3r!","yes","Austria"
"Chenopodium chenopodioides","3","yes","Austria"
"Chenopodium foliosum","2","yes","Austria"
"Chenopodium murale","3","yes","Austria"
"Chenopodium rubrum","2","yes","Austria"
"Chenopodium urbicum","1","yes","Austria"
"Chenopodium vulvaria","2","yes","Austria"
"Chimaphila umbellata","1r!","yes","Austria"
"Chondrilla chondrilloides","2","yes","Austria"
"Chrysopogon gryllus","2","yes","Austria"
"Cicuta virosa","2r!","yes","Austria"
"Cimicifuga europaea","0","yes","Austria"
"Circaea lutetiana subsp. quadrisulcata","3","yes","Austria"
"Cirsium brachycephalum","2","yes","Austria"
"Cirsium canum","3","yes","Austria"
"Cirsium pannonicum","3r!","yes","Austria"
"Cirsium tuberosum","1","yes","Austria"
"Cladium mariscus","3r!","yes","Austria"
"Cleistogenes serotina","2","yes","Austria"
"Clematis integrifolia","2","yes","Austria"
"Cochlearia macrorhiza","1","yes","Austria"
"Cochlearia pyrenaica","4r!","yes","Austria"
"Colchicum vernum","3","yes","Austria"
"Coleanthus subtilis","0","yes","Austria"
"Colutea arborescens","3","yes","Austria"
"Conringia austriaca","2","yes","Austria"
"Conringia orientalis","1","yes","Austria"
"Convolvulus cantabrica","3","yes","Austria"
"Corispermum nitidum","1","yes","Austria"
"Coronilla coronata","3r!","yes","Austria"
"Coronopus squamatus","1","yes","Austria"
"Corydalis capnoides","3","yes","Austria"
"Corydalis pumila","3","yes","Austria"
"Corynephorus canescens","1","yes","Austria"
"Cotinus coggygria","3r!","yes","Austria"
"Crambe tataria","2","yes","Austria"
"Crataegus lindmanii","3","yes","Austria"
"Crataegus rhipidophylla","3","yes","Austria"
"Crepis mollis","3","yes","Austria"
"Crepis pannonica","1","yes","Austria"
"Crepis praemorsa","3r!","yes","Austria"
"Crepis rhaetica","1","yes","Austria"
"Crepis setosa","1","yes","Austria"
"Cruciata pedemontana","3","yes","Austria"
"Crupina vulgaris","0","yes","Austria"
"Crypsis aculeata","3","yes","Austria"
"Cuscuta epilinum","0","yes","Austria"
"Cuscuta lupuliformis","2","yes","Austria"
"Cynoglossum germanicum","3","yes","Austria"
"Cynoglossum hungaricum","2","yes","Austria"
"Cyperus flavescens","2r!","yes","Austria"
"Cyperus fuscus","3r!","yes","Austria"
"Cyperus longus","1","yes","Austria"
"Cyperus michelianus","2r!","yes","Austria"
"Cyperus pannonicus","3","yes","Austria"
"Cypripedium calceolus","3r!","yes","Austria"
"Cytisus procumbens","2","yes","Austria"
"Dactylorhiza cruenta","2","yes","Austria"
"Dactylorhiza incarnata subsp. incarnata","3r!","yes","Austria"
"Dactylorhiza incarnata subsp. ochroleuca","2","yes","Austria"
"Dactylorhiza lapponica","2","yes","Austria"
"Dactylorhiza sambucina","3r!","yes","Austria"
"Dactylorhiza traunsteineri","2","yes","Austria"
"Danthonia alpina","2","yes","Austria"
"Delphinium elatum ssp. austriacum","3","yes","Austria"
"Delphinium elatum subsp. elatum var. tiroliense","2","yes","Austria"
"Dentaria polyphylla","2","yes","Austria"
"Deschampsia littoralis","1","yes","Austria"
"Dianthus armeria","3r!","yes","Austria"
"Dianthus collinus","1","yes","Austria"
"Dianthus plumarius subsp. neilreichii","2","yes","Austria"
"Dianthus pontederae","3","yes","Austria"
"Dianthus serotinus","1","yes","Austria"
"Dianthus superbus subsp. superbus","2","yes","Austria"
"Dianthus sylvaticus","2","yes","Austria"
"Dictamnus albus","3","yes","Austria"
"Dipsacus laciniatus","2r!","yes","Austria"
"Dipsacus pilosus","3r!","yes","Austria"
"Dorycnium herbaceum","3r!","yes","Austria"
"Draba aspera","2","yes","Austria"
"Draba dolomitica","2","yes","Austria"
"Draba lasiocarpa","2","yes","Austria"
"Draba nemorosa","3","yes","Austria"
"Draba norvegica","1","yes","Austria"
"Draba pacheri","3","yes","Austria"
"Draba thomasii","3r!","yes","Austria"
"Dracocephalum austriacum","2","yes","Austria"
"Dracocephalum ruyschiana","3","yes","Austria"
"Drosera anglica","2","yes","Austria"
"Drosera intermedia","2","yes","Austria"
"Drosera rotundifolia","3","yes","Austria"
"Drosera x obovata","2","yes","Austria"
"Dryopteris cristata","2r!","yes","Austria"
"Echinops ritro subsp. ruthenicus","3","yes","Austria"
"Echium italicum","0","yes","Austria"
"Echium maculatum","0","yes","Austria"
"Elatine alsinastrum","1","yes","Austria"
"Elatine hexandra","2r!","yes","Austria"
"Elatine hydropiper","1","yes","Austria"
"Elatine triandra","2r!","yes","Austria"
"Eleocharis acicularis","2","yes","Austria"
"Eleocharis austriaca","3r!","yes","Austria"
"Eleocharis carniolica","2r!","yes","Austria"
"Eleocharis mamillata","3r!","yes","Austria"
"Eleocharis ovata","2r!","yes","Austria"
"Eleocharis palustris subsp. vulgaris","2","yes","Austria"
"Eleocharis uniglumis","3","yes","Austria"
"Elymus hispidus subsp. barbulatus","3","yes","Austria"
"Epilobium fleischeri","3","yes","Austria"
"Epilobium lanceolatum","2","yes","Austria"
"Epilobium obscurum","3","yes","Austria"
"Epilobium tetragonum subsp. lamyi","3","yes","Austria"
"Epimedium alpinum","2","yes","Austria"
"Epipactis albensis","2","yes","Austria"
"Epipactis greuteri","2","yes","Austria"
"Epipactis leptochila","2","yes","Austria"
"Epipactis leutei","2","yes","Austria"
"Epipactis microphylla","2","yes","Austria"
"Epipactis muelleri","3","yes","Austria"
"Epipactis palustris","3r!","yes","Austria"
"Epipactis purpurata","3r!","yes","Austria"
"Epipactis voethii","1","yes","Austria"
